English,Chinese,Category,Notes
Fan coil unit,风机盘管机组,HVAC,末端设备
Fan coil,风机盘管,HVAC,末端设备
Radiant ceiling,辐射吊顶,HVAC,辐射末端
Radiant panel,辐射板,HVAC,辐射末端
Radiator,散热器,HVAC,热末端
Primary chilled water,一次冷冻水,HVAC,冷源系统
Primary plant,主机/一次设备,HVAC,冷热源
Secondary circuit,二次回路,HVAC,水系统
Secondary pump,二次泵,HVAC,水系统设备
Secondary supply,二次侧供应,HVAC,水系统
Heat exchanger,换热器,HVAC,热交换设备
Boiler,锅炉,HVAC,热源设备
Chiller,冷水机组,HVAC,冷源设备
Condenser,冷凝器,HVAC,制冷组件
Evaporator,蒸发器,HVAC,制冷组件
Refrigerant,制冷剂,HVAC,制冷介质
Dew point temperature,露点温度,HVAC,物理参数
Supply chain interface,送风链路接口,HVAC,系统接口
Return chain interface,回风链路接口,HVAC,系统接口
Exhaust chain interface,排风链路接口,HVAC,系统接口


# ==================== 通风与空调设备(程序块) ====================
Air filter,空气过滤器,HVAC,设备组件
Filter detector,过滤器检测器,HVAC,传感器
Filter operating message,过滤器运行信息,HVAC,功能
Differential pressure sensor,差压传感器,HVAC,传感器
Maintenance indication,维护指示,HVAC,状态
Energy recovery,能量回收,HVAC,功能
Rotary heat exchanger,转轮热交换器,HVAC,设备
Plate heat exchanger,板式热交换器,HVAC,设备
Run-around coil,循环盘管,HVAC,设备
Mixed air damper,混风风阀,HVAC,设备
Fire damper,防火阀,HVAC,安全设备
Fire and smoke extraction,防火排烟,HVAC,安全功能
Smoke extraction evaluation,排烟评估,HVAC,安全功能
Chilled water cooling coil,冷冻水冷却盘管,HVAC,设备
Direct expansion evaporator cooling coil,直接蒸发冷却盘管,HVAC,设备
Temperature-controlled,温度控制,HVAC,控制方式
Humidity-controlled,湿度控制,HVAC,控制方式
Fan speed optimization,风机速度优化,HVAC,节能策略
Pressure setpoint shift,压力设定值偏移,HVAC,重置策略
Air volume flow calculation,风量计算,HVAC,功能
Air volume flow-controlled,风量控制,HVAC,控制模式
Fan group,风机组,HVAC,设备组


# ==================== 热功率与盘管控制 ====================
Thermal power control,热功率控制,HVAC,控制功能
BTU compensation,BTU补偿,HVAC,热量补偿
Dehumidification support,除湿支持,HVAC,功能
Chilled water valve,冷冻水阀,HVAC,执行器
Hot water valve,热水阀,HVAC,执行器
Cascaded supply air temperature control,串级送风温度控制,HVAC,控制方式
Free cooling,免费供冷,HVAC,运行模式
Dehumidification available,除湿可用,HVAC,状态
Cooling coil available,冷却盘管可用,HVAC,状态
Heating coil available,加热盘管可用,HVAC,状态
Air flow cooling request,风量制冷请求,HVAC,需求信号
Air flow dehumidification request,风量除湿请求,HVAC,需求信号
Air flow heating request,风量制热请求,HVAC,需求信号
Monitoring for air volume flow state,风量状态监控,HVAC,监控功能
Warm-up,预热,HVAC,运行模式
Cool down,冷却,HVAC,运行模式
Supply air temperature,送风温度,HVAC,温度参数
Discharge temperature,送风温度,HVAC,别名


# ==================== 辐射采暖与制冷 ====================
Radiator,散热器,HVAC,末端设备
Radiant ceiling,辐射吊顶,HVAC,末端设备
Radiant panel,辐射板,HVAC,末端设备
Radiant cooling,辐射制冷,HVAC,功能
Radiant heating,辐射采暖,HVAC,功能
Radiant cooling devices,辐射制冷设备,HVAC,设备类别
Radiant heating devices,辐射采暖设备,HVAC,设备类别
Chilled ceiling,冷吊顶,HVAC,末端设备
Radiant ceiling cooling,吊顶辐射制冷,HVAC,功能
Radiant ceiling heating,吊顶辐射采暖,HVAC,功能
Radiator heating,散热器采暖,HVAC,功能
Radiant device,辐射设备,HVAC,设备类别
Continuous,连续调节,Control,控制模式
2-position,两位控制,Control,控制模式
Sequence,顺序/序列,Control,控制参数
Heating sequence,制热顺序,HVAC,控制顺序
Cooling sequence,制冷顺序,HVAC,控制顺序
Radiator heating sequence,散热器制热顺序,HVAC,控制顺序
Radiant ceiling heating sequence,吊顶辐射制热顺序,HVAC,控制顺序
Radiant ceiling cooling sequence,吊顶辐射制冷顺序,HVAC,控制顺序
Coil heating sequence,盘管制热顺序,HVAC,控制顺序
Coil cooling sequence,盘管制冷顺序,HVAC,控制顺序
VAV heating sequence,VAV制热顺序,HVAC,控制顺序
VAV cooling sequence,VAV制冷顺序,HVAC,控制顺序
Heat transfer,热传递,HVAC,物理过程
Heat transfer calculations,热传递计算,HVAC,计算功能
Supply flow rate,送风流量,HVAC,流量参数
Flow temperature,送风温度,HVAC,别名
Supply flow temperature,送风温度,HVAC,温度参数


# ==================== 焓湿与空气处理 ====================
Enthalpy and absolute humidity,焓和绝对湿度,HVAC,计算
Temperature and relative humidity,温度和相对湿度,HVAC,测量
Absolute humidity to temperature,绝对湿度转温度,HVAC,转换
Setpoint field,设定值区域,HVAC,设定值
Supply air setpoint,送风设定值,HVAC,设定值
Room temperature setpoint,房间温度设定值,HVAC,设定值


# ==================== VAV 与文丘里阀控制 ====================
Venturi valve,文丘里阀,HVAC,VAV执行器
Linear characterization curve,线性特性曲线,Control,控制算法
Linear characterization curve with PID,PID组合特性曲线,Control,控制算法
Minimum control velocity,最小控制风速,HVAC,控制参数
Stroke time,执行器行程时间,HVAC,执行器参数
Characterization table,特性曲线表,Control,数据表
Calibration curve,校准曲线,HVAC,校准数据
Open-loop control,开环控制,Control,控制模式
Closed-loop control,闭环控制,Control,控制模式
Combined control,组合控制,Control,控制模式
Curve only,仅特性曲线控制,Control,控制模式
PID only,仅PID控制,Control,控制模式
Fail mode,故障模式,Control,控制模式
Switch-on point,开启点,Control,阈值
Low air volume flow,低风量模式,Mode,VAV模式
Network communication loss,网络通信中断,Error,故障状态
Through-the-wall sensor,穿墙式传感器,Sensor,面风速传感器
Cascade feedback loop,串级反馈回路,Control,控制回路
Rate limiting feature,速率限制功能,Control,控制功能
Filter constant,滤波常数,HVAC,传感器参数
Correction factor,修正系数,HVAC,修正参数
Wind up,积分饱和,Control,PID特性
Raw measured value,原始测量值,Process,数据
Measured value,测量值,Process,数据
Manual operation lock,手动操作锁定,Control,锁定功能
Retain manual setpoint after power failure,断电后保留手动设定值,Control,配置参数


# ==================== VAV风量控制与跟踪 ====================
VAV tracking method,VAV跟踪方法,HVAC,控制参数
Setpoint tracking,设定值跟踪,HVAC,跟踪方法
Air volume flow tracking,风量跟踪,HVAC,跟踪方法
Switch tolerance for tracking method,跟踪方法切换容差,HVAC,控制参数
Switch delay for tracking method,跟踪方法切换延迟,HVAC,时间参数
Switch tolerance for air volume flow state,风量状态切换容差,HVAC,控制参数
Switch delay for air volume flow state,风量状态切换延迟,HVAC,时间参数
Switch-on point for air volume flow state,风量状态开启点,HVAC,阈值
Switch-on point for air flow demand,风量需求开启点,HVAC,阈值
Hysteresis for air flow demand,风量需求滞后,HVAC,控制参数
Number of supply air VAV boxes,送风VAV箱数量,HVAC,配置参数
Number of extract air VAV boxes,排风VAV箱数量,HVAC,配置参数
Number of fume hoods,通风柜数量,HVAC,配置参数
Flow rate,流量,HVAC,物理量
Flow rates for supply and extract,送排风流量,HVAC,流量参数
Flow limits,流量限值,HVAC,限值参数
Flow range,流量范围,HVAC,参数范围
Minimum flow limits,最小流量限值,HVAC,限值参数
Maximum flow limits,最大流量限值,HVAC,限值参数
Rate limiting feature,速率限制功能,HVAC,控制功能
Flow coefficient calculation,流量系数计算,HVAC,计算功能
Airflow coefficient,风量系数,HVAC,校准参数
Calculated flow coefficient,计算流量系数,HVAC,计算值


# ==================== 文丘里阀控制 ====================
Venturi valve,文丘里阀,HVAC,执行器
Venturi air valve,文丘里风阀,HVAC,执行器
Venturi air valve calibration,文丘里风阀校准,HVAC,校准功能
Linear characterization curve,线性特性曲线,HVAC,控制算法
Linear characterization curve with PID,PID组合特性曲线,HVAC,控制算法
Characterization table,特性曲线表,HVAC,数据表
Characterization curve,特性曲线,HVAC,控制算法
Open-loop control,开环控制,HVAC,控制模式
Closed-loop control,闭环控制,HVAC,控制模式
PID control,PID控制,HVAC,控制算法
Air volume flow scale,风量比例,HVAC,信号
Airflow setpoint,风量设定值,HVAC,设定值
Airflow controller,风量控制器,HVAC,控制器
Velocity control,速度控制,HVAC,控制方式
Air velocity,风速,HVAC,物理量
Effective air velocity,有效风速,HVAC,计算值
Minimum air velocity for control,最小控制风速,HVAC,控制参数
Minimum control velocity,最小控制速度,HVAC,控制参数
Minimum velocity for control and venturi calibration,控制和文丘里校准最小速度,HVAC,控制参数
Cut out velocity,切除速度,HVAC,控制参数
Curve only,仅特性曲线控制,HVAC,控制模式
PID only,仅PID控制,HVAC,控制模式
Combined control,组合控制,HVAC,控制模式
Fail mode,故障模式,HVAC,控制模式
Flow sensor failure,流量传感器故障,HVAC,故障状态
Air volume flow sensor,风量传感器,HVAC,传感器
Differential pressure switch-on point,差压开启点,HVAC,阈值
Hysteresis for differential pressure,差压滞后,HVAC,控制参数
Switch-on point for differential pressure,差压开启点,HVAC,阈值
Time constant for air volume flow,风量时间常数,HVAC,滤波参数
Time constant for relative air volume flow setpoint,相对风量设定值时间常数,HVAC,控制参数
Stroke time,执行器行程时间,HVAC,执行器参数
Rate limiting,速率限制,HVAC,控制功能


# ==================== VAV设备模式与状态 ====================
VAV device mode,VAV设备模式,HVAC,状态
Device mode state,设备模式状态,HVAC,状态
Maximum air volume flow,最大风量,HVAC,设备模式
Minimum air volume flow,最小风量,HVAC,设备模式
Smoke control air volume flow setpoint,排烟控制风量设定值,HVAC,设定值
Smoke control air volume flow,排烟控制风量,HVAC,功能
Max.air vol.flow,最大风量,HVAC,缩写
Min.air vol.flow,最小风量,HVAC,缩写
Smoke ctrl.air flow setp.,排烟控制风量,HVAC,缩写
Off,关闭,HVAC,设备模式
Control mode,控制模式,HVAC,设备模式
Demand signal,需求信号,HVAC,信号类型
Demand level,需求等级,HVAC,信号强度
Flow scale,流量比例,HVAC,信号


# ==================== 风量平衡与校准 ====================
Air balancing,风量平衡,HVAC,调试任务
Balancing mode,平衡模式,HVAC,调试模式
Balancing state,平衡状态,HVAC,调试状态
Balancing command,平衡命令,HVAC,调试命令
Initial,初始,HVAC,状态
Balancing,平衡中,HVAC,状态
Balanced,已平衡,HVAC,状态
Ready,就绪,HVAC,校准状态
Calibrate,校准,HVAC,校准动作
Apply,应用,HVAC,校准动作
Cancel,取消,HVAC,校准动作
Failed calibration,校准失败,HVAC,校准状态
Calibrated,已校准,HVAC,校准状态
Flow coefficient,流量系数,HVAC,校准参数
Box coefficient,箱体系数,HVAC,设备参数
Duct area calculation,风管面积计算,HVAC,计算功能
Dimension A,尺寸A,HVAC,几何参数
Dimension B,尺寸B,HVAC,几何参数
Air volume flow at hood,排风罩处风量,HVAC,测量点
Flow conversion,流量换算,HVAC,计算功能
Maximum ventilation,最大通风,HVAC,平衡模式
Minimum ventilation,最小通风,HVAC,平衡模式
Maximum exhaust air,最大排风,HVAC,平衡模式
Minimum exhaust air,最小排风,HVAC,平衡模式
Manual,手动,HVAC,平衡模式
AVS calibration,AVS校准,HVAC,传感器校准
Venturi calibration,文丘里校准,HVAC,执行器校准


# ==================== 风量平衡功能 ====================
Balancing state,平衡状态,HVAC,调试状态
Balancing mode,平衡模式,HVAC,调试模式
Balancing command,平衡命令,HVAC,调试命令
Initial,初始,HVAC,状态
Balancing,平衡中,HVAC,状态
Balanced,已平衡,HVAC,状态
Ready,就绪,HVAC,校准状态
Calibrate,校准,HVAC,校准动作
Apply,应用,HVAC,校准动作
Cancel,取消,HVAC,校准动作
Failed calibration,校准失败,HVAC,校准状态
Calibrated,已校准,HVAC,校准状态
Flow coefficient,流量系数,HVAC,校准参数
Box coefficient,箱体系数,HVAC,设备参数
Calculated flow coefficient,计算流量系数,HVAC,计算值
Initial flow coefficient,初始流量系数,HVAC,参数
Recorded flow coefficient,记录流量系数,HVAC,参数
Duct area calculation,风管面积计算,HVAC,计算功能
Duct area,风管面积,HVAC,几何参数
Duct shape,风管形状,HVAC,几何参数
Rectangular,矩形,HVAC,形状
Round,圆形,HVAC,形状
Flat oval,扁平椭圆,HVAC,形状
Direct entry,直接输入,HVAC,输入方式
Dimension A,尺寸A,HVAC,几何参数
Dimension B,尺寸B,HVAC,几何参数
Flow conversion,流量换算,HVAC,计算功能
Maximum cooling,最大制冷,HVAC,平衡模式
Maximum heating,最大制热,HVAC,平衡模式
Maximum ventilation,最大通风,HVAC,平衡模式
Minimum cooling,最小制冷,HVAC,平衡模式
Minimum heating,最小制热,HVAC,平衡模式
Minimum ventilation,最小通风,HVAC,平衡模式
Smoke,排烟,HVAC,平衡模式
Air volume flow at hood,排风罩处风量,HVAC,测量值
Recorded air volume flow at hood,记录排风罩风量,HVAC,记录值
Recorded position,记录位置,HVAC,记录值
Recorded balancing mode,记录平衡模式,HVAC,记录值
Recorded air volume flow,记录风量,HVAC,记录值
Air balancing,风量平衡,HVAC,调试任务
Balance report,平衡报告,HVAC,文档
Airflow balance,风量平衡,HVAC,系统功能


# ==================== 送风VAV详细参数 ====================
Supply air VAV,送风VAV,HVAC,设备
Supply air VAV position,送风VAV位置,HVAC,执行器输出
Supply air VAV differential pressure,送风VAV差压,HVAC,传感器
Supply air VAV effective air velocity,送风VAV有效风速,HVAC,计算值
Supply air VAV setpoint for air volume flow,送风VAV风量设定值,HVAC,设定值
Supply air VAV setpoint for relative air volume flow,送风VAV相对风量设定值,HVAC,设定值
Supply air VAV air volume flow,送风VAV风量,HVAC,测量值
Supply air VAV relative air volume flow,送风VAV相对风量,HVAC,计算值
Supply air VAV air volume flow deviation,送风VAV风量偏差,HVAC,计算值
Supply air VAV air volume flow saturation,送风VAV风量饱和,HVAC,状态
Supply air VAV air flow controller,送风VAV风量控制器,HVAC,控制器
Supply air VAV air volume flow request,送风VAV风量请求,HVAC,需求信号
Supply air VAV air volume flow scale,送风VAV风量比例,HVAC,信号
Supply air VAV available for cooling,送风VAV可用制冷,HVAC,状态
Supply air VAV available for heating,送风VAV可用制热,HVAC,状态
Supply air VAV available for ventilation,送风VAV可用通风,HVAC,状态
Supply air VAV required for cooling,送风VAV需要制冷,HVAC,需求信号
Supply air VAV required for heating,送风VAV需要制热,HVAC,需求信号
Supply air VAV changeover condition,送风VAV切换条件,HVAC,控制信号
Supply air VAV cooling demand,送风VAV制冷需求,HVAC,需求信号
Supply air VAV heating demand,送风VAV制热需求,HVAC,需求信号
Supply air VAV ventilation demand,送风VAV通风需求,HVAC,需求信号
Supply air VAV air demand for plant mode,送风VAV设备模式空气需求,HVAC,需求信号
Supply air VAV air volume flow tracking,送风VAV风量跟踪,HVAC,信号
Supply air VAV balancing state,送风VAV平衡状态,HVAC,状态
Supply air VAV balancing mode,送风VAV平衡模式,HVAC,模式
Supply air VAV balancing command,送风VAV平衡命令,HVAC,命令
Supply air VAV air volume flow at hood,送风VAV排风罩处风量,HVAC,测量值
Supply air VAV recorded balancing mode,送风VAV记录平衡模式,HVAC,记录值
Supply air VAV recorded air volume flow at hood,送风VAV记录排风罩风量,HVAC,记录值
Supply air VAV recorded flow coefficient,送风VAV记录流量系数,HVAC,记录值
Supply air VAV initial flow coefficient,送风VAV初始流量系数,HVAC,参数
Supply air VAV recorded air volume flow,送风VAV记录风量,HVAC,记录值
Supply air VAV recorded position,送风VAV记录位置,HVAC,记录值
Supply air VAV duct area,送风VAV风管面积,HVAC,几何参数
Supply air VAV duct shape,送风VAV风管形状,HVAC,几何参数
Supply air VAV dimension A,送风VAV尺寸A,HVAC,几何参数
Supply air VAV dimension B,送风VAV尺寸B,HVAC,几何参数
Supply air VAV flow coefficient,送风VAV流量系数,HVAC,校准参数
Supply air VAV smoke control air volume flow setpoint,送风VAV排烟控制风量设定值,HVAC,设定值
Supply air VAV maximum air volume flow for cooling,送风VAV最大制冷风量,HVAC,限值参数
Supply air VAV minimum air volume flow for cooling,送风VAV最小制冷风量,HVAC,限值参数
Supply air VAV maximum air volume flow for heating,送风VAV最大制热风量,HVAC,限值参数
Supply air VAV minimum air volume flow for heating,送风VAV最小制热风量,HVAC,限值参数
Supply air VAV maximum air volume flow for ventilation,送风VAV最大通风风量,HVAC,限值参数
Supply air VAV minimum air volume flow for ventilation,送风VAV最小通风风量,HVAC,限值参数
Supply air VAV supply chain for air,送风VAV送风链路,HVAC,接口
Supply air venturi valve calibration command,送风文丘里阀校准命令,HVAC,校准命令
Supply air venturi valve calibration state,送风文丘里阀校准状态,HVAC,校准状态
Supply air VAV calculated flow coefficient,送风VAV计算流量系数,HVAC,计算值


# ==================== 排风VAV详细参数 ====================
Extract air VAV,排风VAV,HVAC,设备
Extract air VAV position,排风VAV位置,HVAC,执行器输出
Extract air VAV differential pressure,排风VAV差压,HVAC,传感器
Extract air VAV effective air velocity,排风VAV有效风速,HVAC,计算值
Extract air VAV setpoint for air volume flow,排风VAV风量设定值,HVAC,设定值
Extract air VAV setpoint for relative air volume flow,排风VAV相对风量设定值,HVAC,设定值
Extract air VAV air volume flow,排风VAV风量,HVAC,测量值
Extract air VAV relative air volume flow,排风VAV相对风量,HVAC,计算值
Extract air VAV air volume flow deviation,排风VAV风量偏差,HVAC,计算值
Extract air VAV air volume flow saturation,排风VAV风量饱和,HVAC,状态
Extract air VAV air flow controller,排风VAV风量控制器,HVAC,控制器
Extract air VAV air volume flow request,排风VAV风量请求,HVAC,需求信号
Extract air VAV available for ventilation,排风VAV可用通风,HVAC,状态
Extract air VAV air volume flow tracking,排风VAV风量跟踪,HVAC,信号
Extract air VAV balancing state,排风VAV平衡状态,HVAC,状态
Extract air VAV balancing mode,排风VAV平衡模式,HVAC,模式
Extract air VAV balancing command,排风VAV平衡命令,HVAC,命令
Extract air VAV air volume flow at hood,排风VAV排风罩处风量,HVAC,测量值
Extract air VAV recorded balancing mode,排风VAV记录平衡模式,HVAC,记录值
Extract air VAV recorded air volume flow at hood,排风VAV记录排风罩风量,HVAC,记录值
Extract air VAV recorded flow coefficient,排风VAV记录流量系数,HVAC,记录值
Extract air VAV initial flow coefficient,排风VAV初始流量系数,HVAC,参数
Extract air VAV recorded air volume flow,排风VAV记录风量,HVAC,记录值
Extract air VAV recorded position,排风VAV记录位置,HVAC,记录值
Extract air VAV duct area,排风VAV风管面积,HVAC,几何参数
Extract air VAV duct shape,排风VAV风管形状,HVAC,几何参数
Extract air VAV dimension A,排风VAV尺寸A,HVAC,几何参数
Extract air VAV dimension B,排风VAV尺寸B,HVAC,几何参数
Extract air VAV flow coefficient,排风VAV流量系数,HVAC,校准参数
Extract air VAV smoke control air volume flow setpoint,排风VAV排烟控制风量设定值,HVAC,设定值
Extract air VAV maximum air volume flow for ventilation,排风VAV最大通风风量,HVAC,限值参数
Extract air VAV minimum air volume flow for ventilation,排风VAV最小通风风量,HVAC,限值参数
Extract air VAV extract chain for air,排风VAV排风链路,HVAC,接口
Extract air VAV box coefficient,排风VAV箱体系数,HVAC,校准参数
Extract air VAV calculated flow coefficient,排风VAV计算流量系数,HVAC,计算值
Extract air VAV air velocity,排风VAV风速,HVAC,测量值
External flow control,外部流量控制,HVAC,控制方式
OEM box coefficient,OEM箱体系数,HVAC,参数
Failure mode for air volume flow sensor,风量传感器故障模式,HVAC,配置参数
Hold,保持,HVAC,故障模式
Close,关闭,HVAC,故障模式
Open,开启,HVAC,故障模式
Cutout feature,切断功能,HVAC,控制特征
Settling time,稳定时间,HVAC,性能参数
Pressure unit,压力单位,HVAC,单位
Air volume flow unit,风量单位,HVAC,单位


# ==================== VAV可用性与需求信号 ====================
Available for cooling,可用制冷,HVAC,状态信号
Available for heating,可用制热,HVAC,状态信号
Available for ventilation,可用通风,HVAC,状态信号
Required for cooling,需要制冷,HVAC,需求信号
Required for heating,需要制热,HVAC,需求信号
Required,需要,HVAC,需求
Cooling demand,制冷需求,HVAC,需求信号
Heating demand,制热需求,HVAC,需求信号
Ventilation demand,通风需求,HVAC,需求信号
Air demand for plant mode,设备模式空气需求,HVAC,需求信号
Changeover condition,切换条件,HVAC,控制条件
Make-up air,补风,HVAC,功能
Make-up,补风,HVAC,缩写
Supply chain interface,送风链路接口,HVAC,接口
Supply chain for air,送风链路,HVAC,接口


# ==================== AHU反馈信号 ====================
AHU fan static pressure reset,AHU风机静压重置,HVAC,控制策略
Fan static pressure reset,风机静压重置,HVAC,节能策略
AHU changeover condition,AHU切换条件,HVAC,控制信号
Saturation signal,饱和信号,HVAC,AHU反馈
Saturation,饱和,HVAC,状态
Starved,饥饿,HVAC,饱和状态
Satisfied,满足,HVAC,饱和状态
Airflow deviation signal,风量偏差信号,HVAC,AHU反馈
Air volume flow deviation,风量偏差,HVAC,计算值
Enable deviation calculation,启用偏差计算,HVAC,配置参数
Enable saturation calculation,启用饱和计算,HVAC,配置参数
Saturation level,饱和等级,HVAC,控制参数
Air volume flow error limit,风量误差限值,HVAC,控制参数
Switch-on delay saturation,饱和开启延迟,HVAC,时间参数
AHU static fan pressure reset,AHU静压重置,HVAC,节能策略
Pressure independence,压力无关,HVAC,特性
Pressure reset,压力重置,HVAC,控制策略


# ==================== 压差与饱和信号 ====================
Airflow deviation signal,风量偏差信号,HVAC,AHU反馈
Saturation signal,饱和信号,HVAC,AHU反馈
Saturation level,饱和等级,HVAC,控制参数
Saturation,饱和,Control,状态
Starved,饥饿/不足,Status,饱和状态描述
Satisfied,满足/充足,Status,饱和状态描述
Enable saturation calculation,启用饱和计算,HVAC,配置参数
Airflow error limit,风量误差限值,HVAC,控制参数
Switch-on delay saturation,饱和开启延迟,HVAC,时间参数
Rogue zone,异常区域,HVAC,问题区域
Pressure reset,压力重置,HVAC,控制策略
Static fan pressure reset,风机静压重置,HVAC,节能策略


# ==================== 送排风链路接口 ====================
Supply air VAV cooling demand,送风VAV制冷需求,HVAC,需求信号
Supply air VAV heating demand,送风VAV制热需求,HVAC,需求信号
Supply air VAV ventilation demand,送风VAV通风需求,HVAC,需求信号
Supply air VAV relief,送风VAV泄放,HVAC,信号
Extract air VAV relief,排风VAV泄放,HVAC,信号
Air volume flow relief,风量泄放,HVAC,信号
Air volume flow provided for ventilation,通风提供风量,HVAC,信号
Supply chain interface for air,送风链路空气接口,HVAC,接口
Extract chain interface for air,排风链路空气接口,HVAC,接口
Exhaust chain interface,排风链路接口,HVAC,接口
Flow relief,流量泄放,HVAC,信号
Extraction,抽取,HVAC,动作


# ==================== 通风控制与需求控制通风 ====================
Minimum ventilation,最小通风,HVAC,通风模式
Ventilation rate,通风率,HVAC,流量参数
Demand-controlled ventilation,需求控制通风,HVAC,通风策略
DCV,需求控制通风,HVAC,缩写
External DCV,外部需求控制通风,HVAC,通风策略
External demand-controlled ventilation,外部需求控制通风,HVAC,通风策略
Room ventilation,房间通风,HVAC,功能
Ventilation air volume flow,通风风量,HVAC,流量参数
Ventilation air volume flow setpoint,通风风量设定值,HVAC,设定值
Ventilation alarm,通风报警,HVAC,报警
Ventilation communication alarm,通风通信报警,HVAC,报警
Ventilation alarm limit,通风报警限值,HVAC,参数
Ventilation alarm delay,通风报警延迟,HVAC,时间参数
Ventilation air change rate,通风换气次数,HVAC,监控参数
Ventilation velocity rate,通风面风率,HVAC,监控参数
Air changes per hour,每小时换气次数,HVAC,通风参数
Air changes per hour (Ach/h),每小时换气次数,HVAC,通风单位
Airflow per unit floor area,单位面积风量,HVAC,通风参数
Volume of room,房间体积,HVAC,几何参数
Area of room,房间面积,HVAC,几何参数
Unit for minimum room ventilation,房间最小通风单位,HVAC,配置
Minimum room ventilation for comfort,舒适模式最小房间通风,HVAC,配置参数
Minimum room ventilation for pre-comfort,预舒适最小房间通风,HVAC,配置参数
Minimum room ventilation for economy,经济模式最小房间通风,HVAC,配置参数
Minimum room ventilation for protection,防护模式最小房间通风,HVAC,配置参数
Minimum room air volume flow for comfort,舒适模式最小房间风量,HVAC,计算值
Minimum room air volume flow for pre-comfort,预舒适最小房间风量,HVAC,计算值
Minimum room air volume flow for economy,经济模式最小房间风量,HVAC,计算值
Minimum room air volume flow for protection,防护模式最小房间风量,HVAC,计算值
Present ventilation setpoint,当前通风设定值,HVAC,计算值
Rapid Ventilation,快速通风,HVAC,通风功能
High flow rate,高流量,HVAC,流量参数
Signal source DCV setpoint,DCV设定值信号源,HVAC,配置参数
BACnet object,BACnet对象,HVAC,通信接口
Physical input,物理输入,HVAC,通信接口
Replacement value for room ventilation,房间通风替代值,HVAC,配置参数
Communication alarm delay,通信报警延迟,HVAC,时间参数
Setpoint room air quality for comfort,舒适模式房间空气质量设定值,HVAC,设定值
Setpoint room air quality for pre-comfort,预舒适房间空气质量设定值,HVAC,设定值
Setpoint room air quality for economy,经济模式房间空气质量设定值,HVAC,设定值
